               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.041875,            0.060059,           0.0051457,             0.71734,             0.39133,             0.44319,             0.23505,            0.042097,            0.051173,           0.0071309,             0.00406,             0.00406,             0.00406
                 122,            0.041675,            0.059496,           0.0051875,             0.71107,             0.39186,             0.44342,             0.23531,            0.042095,             0.05121,           0.0071655,           0.0040105,           0.0040105,           0.0040105
                 123,            0.041619,            0.060248,           0.0050242,             0.70989,             0.39443,             0.44429,             0.23582,            0.042085,            0.051218,           0.0071675,            0.003961,            0.003961,            0.003961
                 124,            0.041715,            0.060327,           0.0050738,             0.69494,             0.40893,             0.44349,             0.23474,            0.042069,            0.051207,           0.0071691,           0.0039115,           0.0039115,           0.0039115
                 125,            0.041723,            0.060112,           0.0050819,             0.69378,             0.41025,              0.4441,             0.23426,            0.042064,            0.051225,           0.0071789,            0.003862,            0.003862,            0.003862
                 126,            0.041547,             0.05996,           0.0050129,             0.70413,             0.40402,             0.44427,              0.2348,             0.04206,             0.05123,           0.0071756,           0.0038125,           0.0038125,           0.0038125
                 127,            0.041643,            0.059889,            0.004903,             0.69645,             0.40561,              0.4449,             0.23518,            0.042052,            0.051233,           0.0071628,            0.003763,            0.003763,            0.003763
                 128,            0.041492,            0.059506,           0.0050391,             0.69924,              0.3985,             0.44448,             0.23425,            0.042055,            0.051237,           0.0071745,           0.0037135,           0.0037135,           0.0037135
                 129,            0.041318,            0.059286,            0.005012,             0.69963,             0.40023,             0.44501,             0.23475,             0.04205,            0.051237,            0.007177,            0.003664,            0.003664,            0.003664
                 130,            0.041457,            0.060146,           0.0049661,              0.6868,             0.40273,             0.44483,             0.23506,            0.042041,            0.051233,           0.0071785,           0.0036145,           0.0036145,           0.0036145
                 131,            0.041436,            0.059261,           0.0048429,             0.68919,             0.40409,             0.44516,             0.23561,            0.042036,            0.051231,           0.0071781,            0.003565,            0.003565,            0.003565
                 132,            0.041434,            0.059534,           0.0050031,             0.68614,             0.40334,              0.4441,             0.23631,            0.042034,            0.051219,           0.0071914,           0.0035155,           0.0035155,           0.0035155
                 133,            0.041133,            0.059818,           0.0048565,             0.72689,             0.38561,             0.44375,             0.23538,            0.042032,            0.051223,           0.0071906,            0.003466,            0.003466,            0.003466
                 134,            0.041314,            0.059106,           0.0048229,             0.72604,             0.38669,             0.44433,             0.23565,             0.04203,             0.05122,           0.0071939,           0.0034165,           0.0034165,           0.0034165
                 135,            0.041204,            0.059565,           0.0048851,             0.72917,             0.38743,             0.44438,             0.23607,            0.042033,            0.051223,           0.0072027,            0.003367,            0.003367,            0.003367
                 136,            0.041252,            0.059201,           0.0048632,             0.71808,             0.39094,               0.444,             0.23573,            0.042032,            0.051222,           0.0072146,           0.0033175,           0.0033175,           0.0033175
                 137,            0.041196,             0.05937,           0.0047702,             0.70825,             0.39387,             0.44364,             0.23561,            0.042035,            0.051239,           0.0072238,            0.003268,            0.003268,            0.003268
                 138,            0.041178,            0.059417,           0.0047763,             0.71087,             0.39343,             0.44362,             0.23602,            0.042039,            0.051248,           0.0072276,           0.0032185,           0.0032185,           0.0032185
                 139,            0.041149,            0.059369,           0.0048221,             0.70183,              0.3944,              0.4439,             0.23634,            0.042037,            0.051261,           0.0072335,            0.003169,            0.003169,            0.003169
                 140,            0.040962,            0.058713,           0.0048489,              0.7072,             0.39659,             0.44352,             0.23632,            0.042035,            0.051267,           0.0072331,           0.0031195,           0.0031195,           0.0031195
                 141,            0.041181,            0.058493,           0.0046981,             0.70329,             0.39508,             0.44314,             0.23647,            0.042035,             0.05127,           0.0072389,             0.00307,             0.00307,             0.00307
                 142,            0.040966,            0.058956,           0.0047465,             0.71013,             0.39452,             0.44312,             0.23598,            0.042036,            0.051282,           0.0072467,           0.0030205,           0.0030205,           0.0030205
                 143,            0.040936,            0.059026,           0.0047163,             0.70517,             0.39613,             0.44285,             0.23658,            0.042037,            0.051291,           0.0072554,            0.002971,            0.002971,            0.002971
                 144,            0.040907,             0.05883,           0.0046516,             0.70264,             0.39682,             0.44349,             0.23672,            0.042037,            0.051296,           0.0072612,           0.0029215,           0.0029215,           0.0029215
                 145,            0.040807,            0.058635,           0.0046542,             0.70042,             0.39702,             0.44368,             0.23711,            0.042035,              0.0513,           0.0072694,            0.002872,            0.002872,            0.002872
                 146,            0.040763,            0.058158,           0.0045836,             0.70623,             0.39083,             0.44321,             0.23733,            0.042038,            0.051302,           0.0072758,           0.0028225,           0.0028225,           0.0028225
                 147,            0.040646,            0.058218,           0.0046122,             0.70027,             0.39258,             0.44298,             0.23708,            0.042038,            0.051303,           0.0072854,            0.002773,            0.002773,            0.002773
                 148,            0.040693,            0.059271,           0.0046483,             0.69524,             0.39531,             0.44238,             0.23764,            0.042036,            0.051304,           0.0072907,           0.0027235,           0.0027235,           0.0027235
                 149,             0.04091,            0.058938,           0.0046648,             0.71818,             0.38312,             0.44105,             0.23741,            0.042038,            0.051309,           0.0072995,            0.002674,            0.002674,            0.002674
                 150,            0.040554,            0.057945,           0.0045193,             0.72197,             0.38368,             0.44145,             0.23747,            0.042036,            0.051306,           0.0073071,           0.0026245,           0.0026245,           0.0026245
                 151,            0.040541,            0.058214,           0.0045102,             0.71525,             0.38499,             0.44128,             0.23762,            0.042033,            0.051311,           0.0073098,            0.002575,            0.002575,            0.002575
